,code,name,eps_x,eps_yoy,bvps,roe_x,epcf,net_profits_x,profits_yoy,distrib,report_date,roe_y,net_profit_ratio,gross_profit_rate,net_profits_y,eps_y,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg,currentratio,quickratio,cashratio,icratio,sheqratio,adratio,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio,time_point
326,601186,中国铁建,0.19,5.0,,2.28,,257178.7,18.13,,04-30,2.23,2.16,10.579,2571.7870000000003,0.1893,118678.0,8.7394,0.9447,95.2683,0.4241,212.2141,0.2066,435.6244,1.368,18.4358,24.1509,13.1989,5.0,21.7698,1.2254,0.6807,25.9002,519.0504,18.9781,81.0219,-0.0915,-0.0156,-4.0421,-0.0193,-2.3205,2016-04-27
327,601186,中国铁建,0.19,5.0,,2.28,,257178.7,18.13,,04-30,2.23,2.16,10.579,2571.7870000000003,0.1893,118678.0,8.7394,0.9447,95.2683,0.4241,212.2141,0.2066,435.6244,1.368,18.4358,24.1509,13.1989,5.0,21.7698,1.2254,0.6807,25.9002,519.0504,18.9781,81.0219,-0.0915,-0.0156,-4.0421,-0.0193,-2.3205,2016-04-27
328,600295,鄂尔多斯,0.08,-20.0,,1.22,,8673.1,-18.23,,04-30,1.2,2.46,29.4237,86.73100000000001,0.084,3518.2149,3.4091,1.6661,54.0184,0.693,129.8701,0.2682,335.5705,1.3232,-22.6182,1.6003,-1.4752,-20.0,1.5987,0.5775,0.4136,8.6735,163.0424,30.5516,69.4484,0.361,0.0286,8.9066,0.0411,5.5593,2016-04-27
329,600295,鄂尔多斯,0.08,-20.0,,1.22,,8673.1,-18.23,,04-30,1.2,2.46,29.4237,86.73100000000001,0.084,3518.2149,3.4091,1.6661,54.0184,0.693,129.8701,0.2682,335.5705,1.3232,-22.6182,1.6003,-1.4752,-20.0,1.5987,0.5775,0.4136,8.6735,163.0424,30.5516,69.4484,0.361,0.0286,8.9066,0.0411,5.5593,2016-04-27
330,000632,三木集团,0.0,-26.56,,0.18,,217.29,-26.56,,04-30,0.17,0.3,12.2974,2.1729,0.0046,724.1241,1.5555,7.2561,12.4034,0.4155,216.6065,0.1613,557.9665,15.1704,-70.8784,-7.3264,3.0112,-26.5625,-2.5786,1.0903,0.6988,33.805,153.1433,19.1969,80.8031,-0.3832,-0.0391,-119.9557,-0.0483,-6.7829999999999995,2016-04-27
331,000632,三木集团,0.0,-26.56,,0.18,,217.29,-26.56,,04-30,0.17,0.3,12.2974,2.1729,0.0046,724.1241,1.5555,7.2561,12.4034,0.4155,216.6065,0.1613,557.9665,15.1704,-70.8784,-7.3264,3.0112,-26.5625,-2.5786,1.0903,0.6988,33.805,153.1433,19.1969,80.8031,-0.3832,-0.0391,-119.9557,-0.0483,-6.7829999999999995,2016-04-27
332,000663,永安林业,-0.05,1150.0,,-0.85,,-1701.06,1823.15,,04-30,-0.85,-8.61,21.9684,-17.0106,-0.0498,197.3974,0.5788,0.3515,256.0455,0.1448,621.547,0.0934,963.5974,138.9766,-10879.7705,486.1526,197.9842,1150.0,530.5343,1.2995,0.6434,15.435,-25.4052,50.7652,49.2348,-0.2378,-0.0118,,-0.0239,-2.8631,2016-04-27
333,000663,永安林业,-0.05,1150.0,,-0.85,,-1701.06,1823.15,,04-30,-0.85,-8.61,21.9684,-17.0106,-0.0498,197.3974,0.5788,0.3515,256.0455,0.1448,621.547,0.0934,963.5974,138.9766,-10879.7705,486.1526,197.9842,1150.0,530.5343,1.2995,0.6434,15.435,-25.4052,50.7652,49.2348,-0.2378,-0.0118,,-0.0239,-2.8631,2016-04-27
334,600773,西藏城投,0.02,6.67,,0.46,,1135.16,4.74,,04-30,0.45,3.44,17.1645,11.3516,0.0155,329.3047,0.4515,2.7866,32.2974,0.036000000000000004,2500.0,0.0313,2875.3994,1856.7861,10.5258,5.5137,5.8166,6.6667,2.286,2.5269,0.7249,51.3389,316.7551,23.9156,76.0844,-0.4801,-0.0141,-15.6343,-0.0186,-3.7772,2016-04-27
335,600773,西藏城投,0.02,6.67,,0.46,,1135.16,4.74,,04-30,0.45,3.44,17.1645,11.3516,0.0155,329.3047,0.4515,2.7866,32.2974,0.036000000000000004,2500.0,0.0313,2875.3994,1856.7861,10.5258,5.5137,5.8166,6.6667,2.286,2.5269,0.7249,51.3389,316.7551,23.9156,76.0844,-0.4801,-0.0141,-15.6343,-0.0186,-3.7772,2016-04-27
