,code,name,eps_x,eps_yoy,roe_x,time_point
743,000581,威孚高科,2.04,10.87,13.33,2018-10-17
1231,000584,哈工智能,0.16,58.65,5.58,2018-10-17
1439,000586,汇源通信,-0.01,-300.0,-0.8,2018-10-17
1390,000587,金洲慈航,-0.08,-123.53,-1.8,2018-10-17
977,000590,启迪古汉,-0.05,-173.82,-1.94,2018-10-17
1744,000591,太阳能,0.24,4.6,5.8,2018-10-17
524,000592,平潭发展,0.04,639.29,2.49,2018-10-17
205,000593,大通燃气,0.05,242.86,1.55,2018-10-17
340,000595,宝塔实业,-0.01,-132.26,1.16,2018-10-17
430,000599,青岛双星,0.07,-56.25,1.55,2018-10-17
753,000600,建投能源,0.16,18.8,2.63,2018-10-17
52,000601,韶能股份,0.25,-38.17,5.96,2018-10-17
3498,000603,盛达矿业,0.37,54.17,9.86,2018-10-17
481,000606,顺利办,0.41,-701.61,10.84,2018-10-17
177,000607,华媒控股,0.06,-32.43,3.34,2018-10-17
536,000608,阳光股份,-0.01,-102.5,-0.2,2018-10-17
2561,000609,中迪投资,-0.02,-104.76,-0.4,2018-10-17
1713,000610,西安旅游,-0.04,-10.42,-1.37,2018-10-17
3442,000611,天首发展,-0.15,396.36,-7.14,2018-10-17
1858,000612,焦作万方,-0.12,-152.4,-3.11,2018-10-17
2102,000613,大东海A,0.0,128.57,0.77,2018-10-17
296,000616,海航投资,0.23,7296.77,7.93,2018-10-17
726,000625,长安汽车,0.24,-80.17,2.46,2018-10-17
483,000626,远大控股,0.04,-89.94,0.96,2018-10-17
179,000627,天茂集团,0.2,0.0,5.3,2018-10-17
1126,000628,高新发展,0.04,-42.86,1.8,2018-10-17
2563,000629,攀钢钒钛,0.24,205.64,38.41,2018-10-17
283,000630,铜陵有色,0.06,65.79,3.77,2018-10-17
208,000632,三木集团,0.03,665.12,1.2,2018-10-17
2446,000635,英力特,0.29,-17.14,2.96,2018-10-17
432,000638,万方发展,-0.06,-177.76,-1.14,2018-10-17
99,000651,格力电器,3.51,36.58,27.76,2018-10-17
1991,000655,金岭矿业,0.12,-22.98,3.17,2018-10-17
3387,000656,金科股份,0.4,166.67,11.35,2018-10-17
129,000659,珠海中富,0.02,-42.11,3.58,2018-10-17
3306,000661,长春高新,4.93,72.38,17.64,2018-10-17
210,000663,永安林业,-0.21,-333.33,-3.21,2018-10-17
2955,000665,湖北广电,0.32,-17.95,3.39,2018-10-17
2906,000666,经纬纺机,0.72,-38.98,6.44,2018-10-17
433,000669,金鸿控股,0.25,-36.84,4.05,2018-10-17
382,000670,ST盈方,-0.07,186.18,-16.67,2018-10-17
2774,000677,恒天海龙,0.0,-2.5,1.23,2018-10-17
2058,000678,襄阳轴承,-0.04,-374.67,-0.36,2018-10-17
133,000679,大连友谊,-0.45,-2887.5,-12.49,2018-10-17
287,000680,山推股份,0.07,33.98,2.54,2018-10-17
211,000682,东方电子,0.08,123.53,4.66,2018-10-17
1775,000683,远兴能源,0.23,76.92,9.9,2018-10-17
666,000687,华讯方舟,0.07,-4.05,3.33,2018-10-17
2830,000688,国城矿业,0.27,-13.51,13.24,2018-10-17
773,000690,宝新能源,0.28,86.67,7.02,2018-10-17
1083,000695,滨海能源,0.17,-464.1,10.46,2018-10-17
3509,000697,炼石航空,-0.38,11.06,-15.35,2018-10-17
2531,000698,沈阳化工,0.12,-42.59,2.29,2018-10-17
1009,000700,模塑科技,0.01,-94.88,0.3,2018-10-17
1720,000701,厦门信达,-0.06,-230.27,-0.81,2018-10-17
3485,000703,恒逸石化,0.97,16.87,16.62,2018-10-17
346,000705,浙江震元,0.17,20.33,3.99,2018-10-17
256,000707,*ST双环,0.25,269.06,26.42,2018-10-17
1752,000708,大冶特钢,0.85,36.61,9.18,2018-10-17
2650,000709,河钢股份,0.32,53.14,7.04,2018-10-17
435,000710,贝瑞基因,0.67,39.19,14.26,2018-10-17
781,000711,京蓝科技,0.17,-19.05,3.53,2018-10-17
1925,000716,黑芝麻,0.07,-51.72,1.89,2018-10-17
1268,000717,韶钢松山,1.14,57.52,55.5,2018-10-17
2570,000719,中原传媒,0.48,4.35,6.73,2018-10-17
901,000720,*ST新能,0.43,-195.86,39.95,2018-10-17
2132,000722,湖南发展,0.17,-15.0,2.79,2018-10-17
3432,000723,美锦能源,0.29,37.98,14.57,2018-10-17
1453,000725,京东方A,0.1,-47.57,3.92,2018-10-17
57,000726,鲁泰A,0.64,0.0,8.08,2018-10-17
438,000728,国元证券,0.1,-66.67,1.31,2018-10-17
394,000729,燕京啤酒,0.22,0.0,4.65,2018-10-17
1671,000733,振华科技,0.45,21.62,5.0,2018-10-17
1931,000735,罗牛山,0.34,162.81,10.38,2018-10-17
2594,000739,普洛药业,0.23,64.29,8.7,2018-10-17
2136,000751,锌业股份,0.04,-55.94,2.26,2018-10-17
350,000752,ST西发,-0.0,-105.72,-0.07,2018-10-17
3337,000753,漳州发展,0.06,211.11,2.52,2018-10-17
3067,000756,新华制药,0.31,-18.42,7.57,2018-10-17
1404,000757,浩物股份,0.17,186.67,11.8,2018-10-17
396,000758,中色股份,0.09,-21.42,3.27,2018-10-17
678,000761,本钢板材,0.21,-50.59,4.96,2018-10-17
514,000762,西藏矿业,-0.15,-1807.06,-3.59,2018-10-17
1284,000766,通化金马,0.19,2.88,0.76,2018-10-17
1725,000776,广发证券,0.54,-35.71,4.79,2018-10-17
353,000779,三毛派神,-0.03,-105.42,-1.65,2018-10-17
1880,000785,武汉中商,0.38,171.43,8.21,2018-10-17
3339,000788,北大医药,0.06,27.4,3.17,2018-10-17
2539,000789,万年青,1.42,272.54,25.12,2018-10-17
2284,000790,泰合健康,0.03,-123.31,1.87,2018-10-17
2198,000791,甘肃电投,0.51,108.36,8.42,2018-10-17
186,000792,盐湖股份,-0.44,41.21,-6.2,2018-10-17
2148,000793,华闻传媒,0.01,-94.64,0.24,2018-10-17
2888,000795,英洛华,0.06,-26.83,3.25,2018-10-17
911,000796,凯撒旅游,0.38,-9.72,14.52,2018-10-17
2011,000797,中国武夷,0.14,37.0,3.27,2018-10-17
260,000800,一汽轿车,0.08,-53.61,1.68,2018-10-17
30,000807,云铝股份,0.04,-75.31,1.11,2018-10-17
2288,000810,创维数字,0.22,369.77,8.18,2018-10-17
1943,000811,冰轮环境,0.3,-9.09,9.12,2018-10-17
1298,000812,陕西金叶,0.03,100.62,1.83,2018-10-17
2150,000813,德展健康,0.33,15.28,14.9,2018-10-17
3489,000818,航锦科技,0.48,177.94,12.86,2018-10-17
2370,000819,岳阳兴长,0.15,633.33,5.98,2018-10-17
1156,000820,ST节能,-0.2,-141.67,-12.51,2018-10-17
1471,000821,京山轻机,0.5,127.27,13.36,2018-10-17
2869,000822,山东海化,0.53,-10.17,15.55,2018-10-17
399,000825,太钢不锈,0.71,88.13,14.34,2018-10-17
844,000826,启迪桑德,0.54,-37.6,5.12,2018-10-17
115,000829,天音控股,0.01,-75.23,0.29,2018-10-17
1949,000831,五矿稀土,0.08,116.18,3.88,2018-10-17
190,000833,粤桂股份,0.15,62.6,3.57,2018-10-17
321,000835,长城动漫,-0.06,-156.55,-11.43,2018-10-17
227,000836,富通鑫茂,0.07,25.24,5.15,2018-10-17
3491,000838,财信发展,0.02,-72.99,1.24,2018-10-17
191,000839,中信国安,0.0,-97.78,0.08,2018-10-17
3367,000848,承德露露,0.36,9.09,17.42,2018-10-17
1476,000850,华茂股份,0.14,468.0,3.14,2018-10-17
2838,000856,冀东装备,0.07,,5.28,2018-10-17
1316,000863,三湘印象,0.08,100.0,1.74,2018-10-17
2806,000877,天山股份,0.73,104.68,9.99,2018-10-17
733,000878,云南铜业,0.28,75.0,6.65,2018-10-17
265,000880,潍柴重机,0.22,110.93,4.47,2018-10-17
75,000881,中广核技,0.18,-18.95,3.47,2018-10-17
937,000887,中鼎股份,0.86,10.26,12.85,2018-10-17
2295,000888,峨眉山A,0.32,11.44,7.49,2018-10-17
2333,000890,法尔胜,0.1,109.9,4.35,2018-10-17
231,000893,*ST东凌,0.0,-108.96,0.17,2018-10-17
271,000895,双汇发展,1.11,15.91,25.29,2018-10-17
363,000899,赣能股份,0.19,15.61,4.1,2018-10-17
1482,000900,现代投资,0.53,22.09,8.96,2018-10-17
81,000901,航天科技,0.09,-55.61,1.46,2018-10-17
3447,000902,新洋丰,0.56,24.44,12.4,2018-10-17
407,000903,云内动力,0.1,-5.83,3.44,2018-10-17
1163,000905,厦门港务,0.04,-76.17,0.85,2018-10-17
2476,000906,浙商中拓,0.26,8.33,9.06,2018-10-17
120,000908,景峰医药,0.13,13.42,4.79,2018-10-17
1964,000910,大亚圣象,0.8,17.65,12.01,2018-10-17
2334,000911,*ST南糖,-2.0,545.16,-60.0,2018-10-17
234,000913,钱江摩托,0.16,45.45,3.01,2018-10-17
2608,000915,山大华特,0.61,-33.7,9.02,2018-10-17
549,000919,金陵药业,0.24,-16.59,4.56,2018-10-17
413,000923,河北宣工,0.11,-82.16,0.81,2018-10-17
1166,000925,众合科技,0.07,-13.49,1.75,2018-10-17
2140,000926,福星股份,0.7,-18.6,6.44,2018-10-17
455,000929,兰州黄河,-0.18,-258.28,-4.73,2018-10-17
