,code,name,eps_x,eps_yoy,roe_x,time_point
2157,002250,联化科技,-0.01,-105.0,-0.23,2018-10-17
2585,002251,步步高,0.23,7.1,3.06,2018-10-17
1688,002252,上海莱士,-0.26,-237.57,-10.95,2018-10-17
2710,002253,川大智胜,0.14,48.5,2.38,2018-10-17
1638,002254,泰和新材,0.23,109.09,6.74,2018-10-17
2979,002255,海陆重工,0.16,34.27,3.45,2018-10-17
2728,002259,ST升达,-0.05,-428.66,-2.46,2018-10-17
1803,002261,拓维信息,0.05,-64.29,1.29,2018-10-17
3212,002262,恩华药业,0.42,22.52,16.0,2018-10-17
1340,002266,浙富控股,0.05,35.9,3.3,2018-10-17
2895,002268,卫士通,-0.09,-28.95,-1.73,2018-10-17
2210,002270,华明装备,0.1,-66.69,3.37,2018-10-17
3388,002271,东方雨虹,0.74,-24.49,15.32,2018-10-17
558,002272,川润股份,0.18,7104.0,6.22,2018-10-17
2914,002273,水晶光电,0.47,14.63,11.08,2018-10-17
3290,002275,桂林三金,0.62,5.29,13.56,2018-10-17
2394,002276,万马股份,0.06,-23.61,1.68,2018-10-17
3244,002277,友阿股份,0.15,-27.82,4.16,2018-10-17
3341,002278,神开股份,0.04,-300.0,1.36,2018-10-17
705,002280,联络互动,0.06,292.16,2.08,2018-10-17
3005,002282,博深工具,0.18,20.0,3.77,2018-10-17
3230,002283,天润曲轴,0.21,5.0,5.87,2018-10-17
2340,002287,奇正藏药,0.61,18.13,12.76,2018-10-17
2875,002290,中科新材,0.32,77.78,6.31,2018-10-17
2730,002291,星期六,0.05,2.91,1.32,2018-10-17
2396,002292,奥飞娱乐,0.05,-77.82,1.33,2018-10-17
3245,002293,罗莱生活,0.51,15.66,10.82,2018-10-17
2309,002296,辉煌科技,0.11,3.64,2.77,2018-10-17
2790,002298,中电兴发,0.17,1.21,2.72,2018-10-17
3058,002302,西部建设,0.18,76.7,3.5,2018-10-17
1379,002303,美盈森,0.19,18.36,6.72,2018-10-17
2084,002304,洋河股份,4.67,26.22,22.5,2018-10-17
3166,002305,南国置业,0.02,134.25,0.67,2018-10-17
2244,002307,北新路桥,0.04,-36.94,1.71,2018-10-17
427,002308,威创股份,0.16,-23.81,4.17,2018-10-17
48,002310,东方园林,0.36,12.5,8.31,2018-10-17
717,002312,三泰控股,-0.11,-137.93,-4.55,2018-10-17
1433,002313,日海智能,0.33,43.48,5.07,2018-10-17
1353,002314,南山控股,0.09,71.2,2.65,2018-10-17
1384,002319,乐通股份,0.01,-78.33,0.45,2018-10-17
3377,002320,海峡股份,0.32,-23.81,5.84,2018-10-17
3310,002322,理工环科,0.37,-11.9,4.67,2018-10-17
3019,002324,普利特,0.24,-59.32,4.16,2018-10-17
741,002325,洪涛股份,0.11,0.0,3.84,2018-10-17
51,002326,永太科技,0.49,41.44,14.52,2018-10-17
3317,002327,富安娜,0.34,21.43,6.22,2018-10-17
3251,002330,得利斯,0.01,18.68,0.41,2018-10-17
1120,002331,皖通科技,0.18,4.23,4.01,2018-10-17
2554,002332,仙琚制药,0.23,53.33,8.71,2018-10-17
2640,002334,英威腾,0.25,4.34,10.18,2018-10-17
2949,002336,人人乐,0.03,-104.61,0.72,2018-10-17
2876,002338,奥普光电,0.12,-14.29,3.66,2018-10-17
1650,002340,格林美,0.13,30.0,6.52,2018-10-17
749,002341,新纶科技,0.28,16.76,7.15,2018-10-17
2498,002342,巨力索具,0.02,-33.33,0.65,2018-10-17
1235,002343,慈文传媒,0.52,8.33,8.99,2018-10-17
2748,002344,海宁皮城,0.23,15.0,4.0,2018-10-17
1441,002345,潮宏基,0.25,-7.41,6.5,2018-10-17
1176,002346,柘中股份,0.12,-78.18,2.52,2018-10-17
3329,002348,高乐股份,0.04,-3.2,3.1,2018-10-17
885,002349,精华制药,0.21,32.69,7.33,2018-10-17
2715,002350,北京科锐,0.15,276.53,4.65,2018-10-17
2346,002351,漫步者,0.09,-46.44,3.03,2018-10-17
2100,002352,顺丰控股,0.69,-19.77,8.98,2018-10-17
2444,002353,杰瑞股份,0.38,646.56,4.49,2018-10-17
2260,002355,兴民智通,0.09,-19.12,2.03,2018-10-17
431,002356,赫美集团,-0.47,-228.3,-14.9,2018-10-17
2983,002357,富临运业,0.16,-57.78,4.45,2018-10-17
3046,002358,森源电气,0.45,0.0,8.26,2018-10-17
3126,002359,北讯集团,0.49,80.31,8.43,2018-10-17
3076,002360,同德化工,0.31,82.35,1.07,2018-10-17
3282,002361,神剑股份,0.07,-26.65,3.13,2018-10-17
1854,002362,汉王科技,0.12,-19.32,3.17,2018-10-17
2927,002363,隆基机械,0.18,20.0,3.31,2018-10-17
991,002364,中恒电气,0.16,14.29,3.84,2018-10-17
2644,002366,台海核电,0.39,-48.0,-19.61,2018-10-17
2347,002367,康力电梯,0.08,-77.35,1.67,2018-10-17
1761,002368,太极股份,0.17,6.25,2.65,2018-10-17
1906,002372,伟星新材,0.5,-9.09,19.4,2018-10-17
1249,002375,亚厦股份,0.23,0.0,4.13,2018-10-17
1664,002376,新北洋,0.4,33.33,9.0,2018-10-17
2187,002377,国创高新,0.24,199.63,4.51,2018-10-17
2324,002378,章源钨业,0.03,50.0,1.4,2018-10-17
1128,002379,宏创控股,0.01,-76.5,0.66,2018-10-17
3140,002380,科远股份,0.3,2.6,3.54,2018-10-17
3092,002381,双箭股份,0.28,40.0,6.96,2018-10-17
530,002382,蓝帆医疗,0.39,21.88,9.03,2018-10-17
2350,002383,合众思壮,0.35,101.72,6.73,2018-10-17
3379,002384,东山精密,0.42,20.0,8.4,2018-10-17
3025,002388,新亚制程,0.05,-67.72,1.85,2018-10-17
3319,002391,长青股份,0.71,53.43,8.12,2018-10-17
3078,002392,北京利尔,0.2,109.38,7.32,2018-10-17
2699,002393,力生制药,0.58,5.45,3.37,2018-10-17
2770,002394,联发股份,0.78,14.71,7.9,2018-10-17
2529,002395,双象股份,0.09,93.78,1.98,2018-10-17
2566,002396,星网锐捷,0.69,38.44,11.93,2018-10-17
1716,002397,梦洁股份,0.12,18.06,4.69,2018-10-17
3335,002401,中远海科,0.23,35.81,8.42,2018-10-17
2624,002402,和而泰,0.22,23.87,12.62,2018-10-17
2663,002404,嘉欣丝绸,0.18,5.88,6.29,2018-10-17
2989,002405,四维图新,0.17,29.47,3.25,2018-10-17
2878,002407,多氟多,0.26,-21.21,5.61,2018-10-17
2003,002409,雅克科技,0.31,109.04,4.12,2018-10-17
2328,002410,广联达,0.26,2.15,9.53,2018-10-17
1137,002411,延安必康,0.39,-2.91,6.51,2018-10-17
1007,002412,汉森制药,0.29,30.33,6.84,2018-10-17
898,002413,雷科防务,0.09,28.57,2.81,2018-10-17
2716,002414,高德红外,0.16,116.02,2.89,2018-10-17
3392,002415,海康威视,0.81,20.12,23.06,2018-10-17
2957,002416,爱施德,0.15,-43.68,3.38,2018-10-17
2452,002417,深南股份,-0.13,-533.33,-9.24,2018-10-17
3111,002418,康盛股份,-0.01,-104.71,-0.35,2018-10-17
3404,002419,天虹股份,0.56,-8.2,10.93,2018-10-17
777,002421,达实智能,0.08,-24.66,4.92,2018-10-17
2754,002424,贵州百灵,0.28,12.0,10.6,2018-10-17
3473,002425,凯撒文化,0.23,22.57,4.91,2018-10-17
2111,002426,胜利精密,0.09,-22.02,3.45,2018-10-17
1145,002427,*ST尤夫,0.04,-93.0,0.83,2018-10-17
2887,002428,云南锗业,0.01,133.33,0.61,2018-10-17
900,002429,兆驰股份,0.08,-27.4,4.13,2018-10-17
2796,002431,棕榈股份,0.01,-92.31,0.27,2018-10-17
2911,002433,太安堂,0.2,-25.93,3.09,2018-10-17
55,002434,万里扬,0.27,-35.71,5.97,2018-10-17
2651,002435,长江润发,0.34,-32.52,5.27,2018-10-17
1265,002439,启明星辰,0.13,112.9,3.75,2018-10-17
3412,002440,闰土股份,0.88,4.76,13.84,2018-10-17
1093,002441,众业达,0.34,-2.86,5.12,2018-10-17
2572,002444,巨星科技,0.53,35.9,9.03,2018-10-17
3308,002445,ST中南,-0.02,-109.52,-0.55,2018-10-17
2009,002446,盛路通信,0.16,6.67,4.71,2018-10-17
1626,002447,晨鑫科技,0.05,-8.2,3.1,2018-10-17
2912,002449,国星光电,0.62,14.14,11.68,2018-10-17
3112,002450,ST康得新,0.62,16.54,11.51,2018-10-17
3066,002451,摩恩电气,0.01,-84.78,0.91,2018-10-17
3029,002452,长高集团,-0.06,-145.32,-2.47,2018-10-17
3351,002454,松芝股份,0.1,-74.36,2.1,2018-10-17
2196,002457,青龙管业,0.11,-153.3,2.08,2018-10-17
3481,002458,益生股份,0.4,-172.73,10.42,2018-10-17
544,002459,天业通联,0.03,152.55,1.06,2018-10-17
1018,002460,赣锋锂业,1.01,-25.19,24.66,2018-10-17
3099,002461,珠江啤酒,0.14,-15.42,3.94,2018-10-17
3443,002462,嘉事堂,1.04,30.0,11.19,2018-10-17
3394,002463,沪电股份,0.23,128.9,10.55,2018-10-17
1785,002464,众应互联,0.35,-38.6,8.02,2018-10-17
2913,002465,海格通信,0.11,37.5,3.12,2018-10-17
3288,002467,二六三,0.09,12.5,3.75,2018-10-17
2832,002468,申通快递,1.05,41.89,21.36,2018-10-17
3239,002469,三维工程,0.07,-3.29,2.85,2018-10-17
2880,002471,中超控股,0.09,59.87,6.19,2018-10-17
2756,002472,双环传动,0.28,3.7,5.52,2018-10-17
1100,002473,圣莱达,0.02,-122.92,1.31,2018-10-17
3001,002474,榕基软件,0.05,20.2,2.11,2018-10-17
3353,002475,立讯精密,0.4,17.65,12.04,2018-10-17
3144,002476,宝莫股份,-0.04,-62.78,-2.63,2018-10-17
2598,002477,雏鹰农牧,-0.28,-233.93,-19.18,2018-10-17
3463,002481,双塔食品,0.04,-20.0,1.93,2018-10-17
2834,002484,江海股份,0.22,21.05,22.22,2018-10-17
825,002485,希努尔,0.15,1846.67,3.72,2018-10-17
29,002486,嘉麟杰,0.01,-128.41,1.08,2018-10-17
2881,002487,大金重工,0.08,111.25,2.64,2018-10-17
3450,002488,金固股份,0.19,,3.02,2018-10-17
1940,002489,浙江永强,-0.05,-162.5,-3.54,2018-10-17
3258,002491,通鼎互联,0.37,8.48,9.76,2018-10-17
2600,002493,荣盛石化,0.3,-26.83,10.44,2018-10-17
1632,002495,佳隆股份,0.03,42.31,2.71,2018-10-17
2967,002496,辉丰股份,-0.16,-173.39,-6.73,2018-10-17
3042,002497,雅化集团,0.18,7.41,6.73,2018-10-17
2658,002499,科林环保,0.12,-50.98,2.96,2018-10-17
139,002501,利源精制,-0.33,-186.84,-5.07,2018-10-17
114,002503,搜于特,0.18,5.88,10.02,2018-10-17
3083,002504,弘高创意,0.01,-90.0,1.43,2018-10-17
1106,002505,大康农业,0.01,75.0,0.78,2018-10-17
187,002506,协鑫集成,-0.02,-291.0,-2.48,2018-10-17
2891,002508,老板电器,1.07,5.94,18.56,2018-10-17
918,002509,天广中茂,0.1,-41.18,5.02,2018-10-17
1634,002511,中顺洁柔,0.25,-25.75,9.88,2018-10-17
2969,002512,达华智能,-0.37,-645.25,-14.83,2018-10-17
3187,002513,蓝丰生化,-0.1,-137.04,-1.4,2018-10-17
2870,002514,宝馨科技,0.14,77.16,8.6,2018-10-17
2220,002515,金字火腿,0.01,-91.43,0.75,2018-10-17
3210,002518,科士达,0.38,-11.63,9.34,2018-10-17
2758,002520,日发精机,0.11,37.5,3.52,2018-10-17
1310,002522,浙江众成,0.04,-42.86,2.07,2018-10-17
2153,002523,天桥起重,0.06,-25.0,3.76,2018-10-17
3323,002524,光正集团,-0.02,-77.78,-1.42,2018-10-17
360,002529,海源复材,0.02,-80.68,0.39,2018-10-17
3044,002530,金财互联,0.22,-25.83,4.28,2018-10-17
3114,002531,天顺风能,0.2,0.0,7.13,2018-10-17
2739,002532,新界泵业,0.22,-12.0,7.97,2018-10-17
2840,002533,金杯电工,0.2,1.52,4.78,2018-10-17
862,002534,杭锅股份,0.26,-46.94,6.39,2018-10-17
2922,002535,林州重机,0.09,129.5,2.49,2018-10-17
3456,002536,西泵股份,0.56,5.66,8.95,2018-10-17
1955,002538,司尔特,0.26,42.08,5.16,2018-10-17
3385,002539,云图控股,0.14,68.67,4.57,2018-10-17
2939,002540,亚太科技,0.23,10.78,6.06,2018-10-17
2759,002542,中化岩土,0.09,17.49,4.46,2018-10-17
2205,002543,万和电气,0.64,1.59,11.52,2018-10-17
2382,002544,杰赛科技,0.07,29.45,1.98,2018-10-17
2973,002545,东方铁塔,0.17,64.2,3.05,2018-10-17
2637,002547,春兴精工,0.04,0.0,1.63,2018-10-17
2681,002549,凯美特气,0.11,172.66,7.77,2018-10-17
3085,002553,南方轴承,0.27,48.62,13.0,2018-10-17
2858,002554,惠博普,0.03,-57.14,1.35,2018-10-17
1325,002555,三七互娱,0.57,-0.7,19.44,2018-10-17
928,002558,巨人网络,0.49,-5.77,11.14,2018-10-17
2810,002560,通达股份,0.07,163.16,1.84,2018-10-17
2083,002561,徐家汇,0.41,5.13,7.87,2018-10-17
1485,002562,兄弟科技,0.09,-80.43,3.25,2018-10-17
2872,002563,森马服饰,0.47,23.68,12.18,2018-10-17
3382,002566,益盛药业,0.16,20.68,2.91,2018-10-17
3418,002568,百润股份,0.2,25.0,7.04,2018-10-17
2740,002569,步森股份,-0.04,-75.0,-1.14,2018-10-17
1334,002571,德力股份,-0.11,-249.44,-2.78,2018-10-17
3302,002574,明牌珠宝,0.16,0.0,2.69,2018-10-17
552,002577,雷柏科技,0.06,0.0,1.55,2018-10-17
2434,002578,闽发铝业,0.02,-0.43,1.52,2018-10-17
3118,002579,中京电子,0.16,700.0,5.84,2018-10-17
2548,002584,西陇科学,0.13,18.18,4.39,2018-10-17
3451,002585,双星新材,0.23,88.75,3.48,2018-10-17
1428,002586,围海股份,0.18,143.85,4.16,2018-10-17
2516,002588,史丹利,0.17,-19.05,4.63,2018-10-17
2761,002590,万安科技,0.16,-20.0,4.11,2018-10-17
1376,002592,八菱科技,0.05,-86.11,0.63,2018-10-17
2874,002595,豪迈科技,0.72,7.1,14.23,2018-10-17
2238,002596,海南瑞泽,0.1,-9.09,3.55,2018-10-17
3487,002597,金禾实业,1.34,8.06,20.94,2018-10-17
2144,002599,盛通股份,0.22,29.41,4.61,2018-10-17
961,002600,领益智造,-0.05,-150.0,-3.59,2018-10-17
3074,002601,龙蟒佰利,0.98,2.08,14.39,2018-10-17
1497,002602,世纪华通,0.62,-11.43,6.87,2018-10-17
1347,002603,以岭药业,0.47,27.03,7.38,2018-10-17
2943,002604,*ST龙力,-0.42,-321.05,,2018-10-17
877,002606,大连电瓷,-0.02,-111.07,-0.76,2018-10-17
585,002609,捷顺科技,0.08,-59.68,2.2,2018-10-17
1173,002614,奥佳华,0.56,47.37,10.2,2018-10-17
45,002615,哈尔斯,0.2,-23.08,10.03,2018-10-17
2684,002618,丹邦科技,0.05,50.0,1.47,2018-10-17
2900,002621,三垒股份,0.04,-50.0,1.15,2018-10-17
881,002622,融钰集团,0.02,-41.75,1.57,2018-10-17
1709,002624,完美世界,1.0,21.95,15.63,2018-10-17
2945,002625,光启技术,0.02,-66.67,0.44,2018-10-17
3309,002627,宜昌交运,0.27,-48.08,4.15,2018-10-17
3063,002628,成都路桥,0.02,-3.03,0.62,2018-10-17
1642,002629,仁智股份,-0.05,66.67,-3.19,2018-10-17
3315,002632,道明光学,0.27,92.86,8.81,2018-10-17
2745,002633,申科股份,-0.01,271.43,-0.23,2018-10-17
3052,002634,棒杰股份,0.05,-37.5,3.61,2018-10-17
1361,002635,安洁科技,0.57,0.0,6.25,2018-10-17
2617,002638,勤上股份,0.05,-25.37,1.4,2018-10-17
2216,002639,雪人股份,0.02,26.09,0.61,2018-10-17
1710,002640,跨境通,0.54,54.29,12.66,2018-10-17
2090,002641,永高股份,0.14,16.67,5.88,2018-10-17
2442,002642,荣之联,0.01,52.38,0.1,2018-10-17
3021,002645,华宏科技,0.34,-17.99,7.03,2018-10-17
2764,002646,青青稞酒,0.19,-21.2,3.71,2018-10-17
3122,002648,卫星石化,0.59,-27.34,8.17,2018-10-17
2747,002649,博彦科技,0.33,31.21,7.42,2018-10-17
3053,002650,加加食品,0.09,-19.64,4.9,2018-10-17
3359,002652,扬子新材,0.1,-20.0,6.52,2018-10-17
2556,002653,海思科,0.28,40.0,14.64,2018-10-17
884,002654,万润科技,0.16,0.0,4.43,2018-10-17
2919,002658,雪迪龙,0.23,21.05,7.23,2018-10-17
2256,002660,茂硕电源,0.03,-62.14,0.85,2018-10-17
3488,002661,克明面业,0.5,68.37,7.49,2018-10-17
2765,002662,京威股份,0.52,160.0,14.27,2018-10-17
3124,002664,长鹰信质,0.5,3.2,9.85,2018-10-17
2749,002665,首航节能,-0.01,-111.33,-0.22,2018-10-17
2182,002666,德联集团,0.13,8.33,3.29,2018-10-17
3252,002667,鞍重股份,0.08,-55.56,2.45,2018-10-17
535,002668,奥马电器,0.25,-64.29,7.42,2018-10-17
2560,002669,康达新材,0.26,20.28,3.39,2018-10-17
2822,002672,东江环保,0.43,13.16,9.52,2018-10-17
646,002673,西部证券,0.1,-54.55,1.96,2018-10-17
1747,002675,东诚药业,0.27,35.47,5.92,2018-10-17
1586,002676,顺威股份,-0.02,-235.92,-1.36,2018-10-17
3276,002677,浙江美大,0.38,35.71,19.6,2018-10-17
2985,002678,珠江钢琴,0.11,-15.38,4.41,2018-10-17
2884,002681,奋达科技,0.16,-27.18,4.18,2018-10-17
3055,002683,宏大爆破,0.22,44.96,5.18,2018-10-17
2999,002684,猛狮科技,-1.04,-711.76,-24.48,2018-10-17
2929,002685,华东重机,0.34,903.81,7.65,2018-10-17
995,002686,亿利达,0.17,-27.92,5.02,2018-10-17
3284,002688,金河生物,0.2,25.0,8.13,2018-10-17
3389,002689,远大智能,-0.01,-133.42,-0.84,2018-10-17
2661,002694,顾地科技,0.03,0.0,1.58,2018-10-17
1816,002695,煌上煌,0.33,37.5,9.44,2018-10-17
3204,002696,百洋股份,0.33,19.4,5.78,2018-10-17
3416,002697,红旗连锁,0.19,90.0,10.46,2018-10-17
1988,002699,美盛文化,0.12,-63.64,3.19,2018-10-17
3254,002700,新疆浩源,0.11,-9.25,4.61,2018-10-17
1129,002701,奥瑞金,0.3,8.67,12.07,2018-10-17
2885,002702,海欣食品,0.06,-206.3,3.42,2018-10-17
1682,002703,浙江世宝,-0.01,-113.08,-0.37,2018-10-17
2168,002705,新宝股份,0.44,5.74,9.31,2018-10-17
3390,002706,良信电器,0.28,-20.0,10.81,2018-10-17
3175,002708,光洋股份,0.05,18.75,1.46,2018-10-17
664,002711,欧浦智网,0.19,-29.63,11.18,2018-10-17
1915,002712,思美传媒,0.35,-44.44,5.92,2018-10-17
3260,002713,东易日盛,0.32,88.24,6.79,2018-10-17
3206,002714,牧原股份,0.17,-89.63,2.81,2018-10-17
507,002717,岭南股份,0.57,-21.92,14.73,2018-10-17
1204,002718,友邦吊顶,1.08,3.85,8.16,2018-10-17
1133,002719,麦趣尔,0.15,-31.82,2.23,2018-10-17
1717,002722,金轮股份,0.56,3.7,5.52,2018-10-17
3262,002724,海洋王,0.11,-0.36,4.51,2018-10-17
1020,002725,跃岭股份,0.1,-23.08,2.89,2018-10-17
2450,002726,龙大肉食,0.17,-22.73,6.42,2018-10-17
3109,002727,一心堂,0.74,21.42,10.88,2018-10-17
3493,002728,特一药业,0.61,48.78,11.58,2018-10-17
3270,002729,好利来,0.25,-26.47,3.99,2018-10-17
1515,002734,利民股份,0.54,-20.59,8.73,2018-10-17
3434,002735,王子新材,0.37,-2.63,5.85,2018-10-17
1138,002736,国信证券,0.21,-44.74,3.65,2018-10-17
3420,002737,葵花药业,0.76,-9.68,10.89,2018-10-17
1624,002740,爱迪尔,0.12,-33.33,2.7,2018-10-17
2959,002741,光华科技,0.35,83.66,11.33,2018-10-17
2627,002743,富煌钢构,0.19,18.75,3.13,2018-10-17
670,002745,木林森,0.51,-38.55,7.77,2018-10-17
1398,002746,仙坛股份,0.71,97.22,10.0,2018-10-17
2506,002748,世龙实业,0.14,-75.46,2.89,2018-10-17
1261,002749,国光股份,1.38,-35.13,20.49,2018-10-17
1089,002751,易尚展示,0.38,73.64,7.06,2018-10-17
2329,002752,昇兴股份,0.05,-37.5,2.15,2018-10-17
2933,002753,永东股份,0.69,8.76,17.28,2018-10-17
219,002755,奥赛康,0.06,-14.29,1.92,2018-10-17
2718,002757,南兴装备,0.95,38.39,12.58,2018-10-17
2131,002758,华通医药,0.13,-18.75,4.59,2018-10-17
1452,002760,凤形股份,0.21,-223.53,3.12,2018-10-17
3496,002761,多喜爱,0.15,109.47,4.36,2018-10-17
3272,002763,汇洁股份,0.46,-20.69,10.01,2018-10-17
1820,002765,蓝黛传动,0.06,-66.67,2.2,2018-10-17
2537,002767,先锋电子,0.13,-30.36,2.87,2018-10-17
1670,002768,国恩股份,0.76,36.7,12.14,2018-10-17
1094,002769,普路通,0.27,-32.5,7.64,2018-10-17
2778,002770,科迪乳业,0.1,4.77,6.3,2018-10-17
3469,002771,真视通,0.18,-30.77,4.3,2018-10-17
3097,002773,康弘药业,0.75,20.97,13.64,2018-10-17
3470,002776,柏堡龙,0.33,-23.26,5.33,2018-10-17
3040,002777,久远银海,0.36,-35.25,8.35,2018-10-17
793,002781,奇信股份,0.66,13.79,8.05,2018-10-17
3321,002783,凯龙股份,0.3,-34.78,7.08,2018-10-17
677,002785,万里石,0.05,-35.5,1.6,2018-10-17
1098,002786,银宝山新,0.05,-61.54,1.68,2018-10-17
1282,002787,华源控股,0.19,-29.63,5.34,2018-10-17
3220,002788,鹭燕医药,0.71,-5.33,9.1,2018-10-17
907,002790,瑞尔特,0.44,-41.93,7.65,2018-10-17
2798,002792,通宇通讯,0.26,-51.85,2.43,2018-10-17
2963,002793,东音股份,0.42,-8.7,10.73,2018-10-17
3181,002795,永和智控,0.3,0.0,9.67,2018-10-17
63,002796,世嘉科技,0.26,-10.34,2.34,2018-10-17
1656,002798,帝欧家居,0.73,98.61,9.85,2018-10-17
3240,002799,环球印务,0.11,4.27,3.06,2018-10-17
28,002800,天顺股份,0.01,-98.6,0.11,2018-10-17
3130,002801,微光股份,0.69,2.99,9.55,2018-10-17
516,002803,吉宏股份,1.15,248.48,20.9,2018-10-17
2935,002806,华锋股份,0.17,28.28,6.02,2018-10-17
910,002808,恒久科技,0.12,19.26,4.28,2018-10-17
1571,002809,红墙股份,0.63,34.04,7.55,2018-10-17
3041,002812,恩捷股份,0.78,2.63,11.0,2018-10-17
2867,002813,路畅科技,-0.23,-321.0,-4.19,2018-10-17
3033,002816,和科达,0.07,-34.16,1.27,2018-10-17
684,002820,桂发祥,0.35,-42.62,6.74,2018-10-17
441,002821,凯莱英,1.15,30.68,12.11,2018-10-17
1296,002822,中装建设,0.22,15.79,6.37,2018-10-17
3301,002825,纳尔股份,0.35,40.0,8.42,2018-10-17
3232,002828,贝肯能源,0.27,-34.15,5.82,2018-10-17
3184,002829,星网宇达,0.13,-45.83,2.41,2018-10-17
1758,002830,名雕股份,0.11,-23.6,2.51,2018-10-17
1607,002831,裕同科技,1.36,-11.22,10.5,2018-10-17
1887,002832,比音勒芬,1.14,-11.63,13.75,2018-10-17
840,002833,弘亚数控,1.83,26.21,23.4,2018-10-17
3468,002835,同为股份,0.0,-98.27,0.06,2018-10-17
930,002836,新宏泽,0.16,-11.11,5.99,2018-10-17
687,002837,英维克,0.42,44.83,10.26,2018-10-17
2705,002838,道恩股份,0.35,-33.75,9.89,2018-10-17
3355,002840,华统股份,0.37,-26.0,8.15,2018-10-17
3490,002843,泰嘉股份,0.35,17.81,7.81,2018-10-17
2804,002845,同兴达,0.43,-20.37,8.41,2018-10-17
3070,002849,威星智能,0.37,-11.33,8.38,2018-10-17
1424,002850,科达利,0.21,-82.5,1.94,2018-10-17
856,002851,麦格米特,0.45,-9.94,8.83,2018-10-17
3134,002853,皮阿诺,0.66,34.69,10.69,2018-10-17
447,002856,美芝股份,0.24,-38.41,4.32,2018-10-17
2577,002859,洁美科技,0.8,50.7,14.32,2018-10-17
731,002863,今飞凯达,0.15,-25.0,6.04,2018-10-17
1479,002864,盘龙药业,0.53,4.67,8.05,2018-10-17
3037,002867,周大生,1.23,33.74,16.38,2018-10-17
493,002868,绿康生化,0.5,-27.54,8.34,2018-10-17
3256,002869,金溢科技,-0.02,-103.57,-0.24,2018-10-17
1114,002872,天圣制药,0.46,-47.61,4.55,2018-10-17
2782,002873,新天药业,0.82,-21.46,9.93,2018-10-17
3228,002875,安奈儿,0.43,-18.87,6.98,2018-10-17
3157,002876,三利谱,0.28,-65.43,2.55,2018-10-17
3103,002877,智能自控,0.18,-49.3,6.29,2018-10-17
2384,002879,长缆科技,0.49,-39.51,6.57,2018-10-17
2975,002880,卫光生物,1.0,-15.97,8.81,2018-10-17
2426,002881,美格智能,0.16,-44.46,5.67,2018-10-17
2683,002884,凌霄泵业,1.28,-39.05,12.6,2018-10-17
3242,002885,京泉华,0.69,-13.75,9.27,2018-10-17
38,002886,沃特股份,0.2,-42.86,3.68,2018-10-17
2687,002889,东方嘉盛,0.74,-10.91,7.61,2018-10-17
2786,002890,弘宇股份,0.41,-43.06,5.22,2018-10-17
3229,002891,中宠股份,0.42,-44.74,5.88,2018-10-17
3160,002892,科力尔,0.58,-9.25,8.29,2018-10-17
2607,002893,华通热力,0.15,-61.54,2.98,2018-10-17
2709,002895,川恒股份,0.17,-52.84,3.39,2018-10-17
2336,002896,中大力德,0.74,0.0,10.72,2018-10-17
3233,002897,意华股份,0.37,-46.38,5.67,2018-10-17
1487,002898,赛隆药业,0.3,2.03,7.45,2018-10-17
3072,002900,哈三联,0.57,-28.75,9.58,2018-10-17
3049,002901,大博医疗,0.71,31.48,21.54,2018-10-17
2993,002902,铭普光磁,0.11,-80.54,1.44,2018-10-17
2480,002903,宇环数控,0.28,-68.35,6.85,2018-10-17
122,002905,金逸影视,0.51,-54.93,7.17,2018-10-17
1615,002906,华阳集团,0.08,-83.77,1.08,2018-10-17
2788,002908,德生科技,0.25,-34.63,5.17,2018-10-17
2587,002910,庄园牧场,0.2,-48.72,3.21,2018-10-17
2612,002911,佛燃股份,0.6,9.09,13.56,2018-10-17
2711,002912,中新赛克,1.47,23.53,13.15,2018-10-17
3015,002913,奥士康,1.28,23.08,9.09,2018-10-17
3234,002915,中欣氟材,0.23,-45.31,5.58,2018-10-17
3193,002916,深南电路,1.69,4.97,14.16,2018-10-17
2234,002918,蒙娜丽莎,1.13,-43.5,11.43,2018-10-17
3047,002919,名臣健康,0.31,-47.46,4.69,2018-10-17
2924,002921,联诚精密,0.49,-19.16,5.96,2018-10-17
3120,002922,伊戈尔,0.26,-54.85,3.78,2018-10-17
3073,002923,润都股份,0.69,-4.17,9.94,2018-10-17
3051,002925,盈趣科技,1.36,-30.61,18.98,2018-10-17
3086,002929,润建通信,0.67,-24.04,10.73,2018-10-17
3057,002930,宏川智慧,0.35,-10.26,4.98,2018-10-17
3264,002931,锋龙股份,0.41,-19.61,8.51,2018-10-17
2981,002932,明德生物,0.89,-4.3,14.37,2018-10-17
3292,002936,郑州银行,0.65,3.17,13.63,2018-10-17
3274,002937,兴瑞科技,0.58,20.83,20.84,2018-10-17
501,002938,鹏鼎控股,0.75,70.45,11.68,2018-10-17
13,002941,新疆交建,0.59,63.89,19.46,2018-10-17
11,002942,新农股份,1.21,86.15,34.22,2018-10-17
5,002946,新乳业,0.23,4.55,13.0,2018-10-17
2,002947,恒铭达,0.94,51.45,18.42,2018-10-17
1691,002952,亚世光电,1.27,50.99,26.03,2018-10-17
2122,300001,特锐德,0.14,0.0,4.72,2018-10-17
593,300002,神州泰岳,-0.08,318.72,-3.03,2018-10-17
2242,300005,探路者,0.03,-68.83,0.99,2018-10-17
